transaction_id,timestamp,amount,currency,merchant_category,merchant_id,customer_id,card_present,device_id,location,is_international,failed_login_attempts,velocity,ip_risk_score,transaction_type,channel,customer_age,account_tenure,geo_distance,merchant_risk_score
83,1/1/2024 1:23,120.1557398,INR,Restaurants,1406,1936,0,17623,London,0,0,1,0.246993179,POS,Web,40,7,0.110322723,0.445812734
53,1/1/2024 0:53,76.56252443,INR,Groceires,1409,610,0,15225,Bangalore,0,0,1,0.285463047,POS,Web,55,5,5.972010958,0.34415863
70,1/1/2024 1:10,195.3038832,INR,Groceries,1913,4697,1,15518,Delhi,0,0,0,0.089695577,Online,Mobile,20,13,1.065866769,0.168125245
45,1/1/2024 0:45,86.49177423,INR,Electronics,1941,1650,1,18908,Delhi,0,1,0,0.184666382,POS,Web,68,6,2.863232493,0.352759924
44,1/1/2024 0:44,103.1346745,USD,Restaurants,1807,545,0,16711,Mumbai,0,0,1,0.097001804,POS,Mobile,38,3,1.218480268,0.265041983
39,1/1/2024 0:39,62.57205908,USD,Fashion,1943,1710,0,17062,Mumbai,0,0,2,0.228067204,POS,Web,18,14,20.41958149,0.218223341
22,1/1/2024 0:22,128.6474636,INR,Groceries,1093,3939,0,18738,Delhi,0,1,1,0.145902103,Online,Mobile,37,5,12.75696215,0.396152606
80,1/1/2024 1:20,30.16248403,INR,Groceires,1293,4260,0,11852,Delhi,0,0,0,0.268421349,POS,Mobile,23,12,1.755135177,0.243273077
10,1/1/2024 0:10,77.7946333,INR,Travel,1181,341,1,12636,Delhi,0,0,2,0.061324013,Online,Mobile,65,6,8.243414024,0.349928588
0,1/1/2024 0:00,64.75473101,INR,Fashion,1685,979,0,19995,Bangalore,0,0,1,0.248274915,POS,Web,51,8,4.256363452,0.358600152
18,1/1/2024 0:18,98.88081623,INR,Travel,1009,2164,1,11511,Delhi,0,0,1,0.144714875,Online,InStore,49,6,0.920823202,0.304927561
30,1/1/2024 0:30,71.58454328,INR,Groceries,1601,2689,1,16148,Bangalore,0,0,0,0.026879221,POS,Mobile,40,13,0.673837668,0.325635243
73,1/1/2024 1:13,16.26381245,INR,Fashion,1121,683,1,13416,Delhi,1,0,1,0.232992455,POS,InStore,55,11,2.48258769,0.286524616
33,1/1/2024 0:33,135.5270628,USD,Groceires,1927,3883,0,15114,London,0,0,1,0.18072772,ATM,Web,24,14,5.799960451,0.263129368
90,6/1/2024 0:05,1000.114844,USD,Electronics,2202,1891,1,28495,London,1,1,6,0.802170775,Online,Web,51,6,74.49387494,0.840517571
4,1/1/2024 0:04,65.14607029,INR,Fashion,1323,4183,1,10993,Delhi,0,0,2,0.209612121,POS,Web,43,2,3.879682586,0.323280565
76,1/1/2024 1:16,6014.104388,INR,Travel,1019,3930,0,15412,Delhi,0,0,1,0.126375212,POS,InStore,62,3,11.0359633,0.321041451
77,1/1/2024 1:17,28.2384298,INR,Travel,1491,4755,1,15904,Bangalore,0,0,1,0.139264985,Online,Mobile,35,3,3.632747778,0.276168098
