iter	Passed	Remaining
0	95	95724
1	142	70983
2	201	67056
3	278	69345
4	349	69515
5	432	71606
6	495	70341
7	559	69372
8	628	69247
9	707	70085
10	772	69488
11	837	68931
12	896	68059
13	956	67369
14	1018	66905
15	1052	64723
16	1089	63021
17	1157	63133
18	1210	62505
19	1273	62409
20	1311	61143
21	1397	62145
22	1468	62397
23	1528	62140
24	1580	61620
25	1601	60010
26	1647	59366
27	1743	60532
28	1807	60515
29	1890	61131
30	1958	61212
31	2025	61264
32	2082	61036
33	2157	61300
34	2185	60263
35	2233	59806
36	2262	58879
37	2312	58533
38	2375	58534
39	2432	58388
40	2492	58293
41	2552	58217
42	2622	58367
43	2649	57559
44	2693	57157
45	2727	56561
46	2818	57145
47	2866	56856
48	2933	56933
49	2987	56764
50	3082	57350
51	3143	57310
52	3215	57457
53	3302	57856
54	3382	58117
55	3467	58458
56	3538	58546
57	3564	57893
58	3593	57305
59	3642	57066
60	3694	56863
61	3772	57071
62	3843	57164
63	3900	57051
64	3973	57164
65	4016	56834
66	4087	56921
67	4165	57087
68	4190	56544
69	4231	56214
70	4315	56460
71	4387	56545
72	4449	56507
73	4529	56686
74	4598	56710
75	4645	56476
76	4730	56701
77	4799	56731
78	4856	56616
79	4922	56603
80	4993	56650
81	5056	56609
82	5084	56175
83	5141	56063
84	5224	56237
85	5303	56368
86	5359	56239
87	5401	55975
88	5428	55568
89	5498	55592
90	5573	55676
91	5602	55299
92	5683	55430
93	5757	55488
94	5835	55586
95	5869	55268
96	5962	55502
97	5991	55142
98	6047	55035
99	6128	55155
100	6203	55217
101	6281	55298
102	6350	55301
103	6379	54957
104	6449	54973
105	6522	55014
106	6551	54674
107	6577	54327
108	6666	54491
109	6738	54522
110	6817	54599
111	6897	54686
112	6968	54698
113	7017	54539
114	7086	54535
115	7158	54551
116	7191	54274
117	7277	54394
118	7348	54406
119	7376	54094
120	7403	53781
121	7435	53514
122	7514	53578
123	7604	53719
124	7675	53729
125	7739	53683
126	7809	53684
127	7835	53380
128	7905	53380
129	7939	53133
130	7992	53015
131	8067	53046
132	8113	52891
133	8143	52627
134	8176	52389
135	8249	52409
136	8283	52182
137	8310	51911
138	8344	51687
139	8407	51647
140	8445	51452
141	8520	51484
142	8595	51514
143	8626	51281
144	8718	51408
145	8805	51504
146	8891	51595
147	8982	51710
148	9021	51523
149	9094	51538
150	9174	51581
151	9200	51330
152	9271	51327
153	9336	51291
154	9404	51268
155	9489	51341
156	9536	51204
157	9616	51245
158	9707	51345
159	9780	51345
160	9852	51340
161	9922	51328
162	9992	51313
163	10024	51099
164	10063	50928
165	10090	50693
166	10168	50721
167	10208	50554
168	10288	50589
169	10376	50660
170	10452	50675
171	10533	50707
172	10614	50740
173	10694	50765
174	10768	50765
175	10862	50856
176	10934	50843
177	11006	50826
178	11075	50798
179	11146	50777
180	11222	50778
181	11288	50735
182	11365	50739
183	11448	50773
184	11537	50828
185	11613	50825
186	11686	50807
187	11759	50791
188	11840	50805
189	11911	50780
190	11987	50772
191	12062	50763
192	12137	50750
193	12224	50786
194	12294	50754
195	12372	50751
196	12450	50751
197	12520	50714
198	12602	50725
199	12665	50661
200	12735	50624
201	12801	50572
202	12883	50580
203	12963	50584
204	13046	50593
205	13108	50524
206	13183	50504
207	13253	50464
208	13348	50519
209	13429	50518
210	13499	50479
211	13590	50514
212	13674	50525
213	13747	50493
214	13819	50458
215	13887	50407
216	13957	50362
217	14025	50311
218	14101	50287
219	14164	50220
220	14253	50243
221	14330	50222
222	14410	50212
223	14482	50172
224	14562	50160
225	14633	50117
226	14704	50073
227	14784	50058
228	14860	50032
229	14927	49975
230	14998	49930
231	15067	49878
232	15149	49871
233	15234	49868
234	15313	49851
235	15386	49810
236	15455	49756
237	15524	49705
238	15589	49639
239	15666	49610
240	15753	49612
241	15841	49620
242	15911	49568
243	15990	49545
244	16074	49537
245	16137	49461
246	16207	49409
247	16282	49371
248	16350	49313
249	16426	49279
250	16490	49208
251	16567	49175
252	16647	49154
253	16721	49110
254	16791	49057
255	16858	48994
256	16936	48963
257	17007	48913
258	17089	48894
259	17158	48835
260	17234	48798
261	17314	48771
262	17396	48750
263	17479	48730
264	17554	48688
265	17635	48663
266	17730	48674
267	17817	48666
268	17895	48629
269	17976	48603
270	18064	48594
271	18163	48614
272	18228	48542
273	18299	48485
274	18384	48467
275	18475	48464
276	18551	48421
277	18620	48360
278	18700	48326
279	18794	48328
280	18861	48260
281	18929	48197
282	19005	48151
283	19081	48105
284	19154	48053
285	19223	47990
286	19308	47968
287	19378	47909
288	19449	47849
289	19530	47817
290	19596	47745
291	19679	47717
292	19750	47656
293	19812	47577
294	19884	47519
295	19954	47458
296	20032	47415
297	20107	47366
298	20187	47328
299	20268	47293
300	20336	47226
301	20401	47152
302	20486	47125
303	20565	47084
304	20662	47082
305	20742	47043
306	20821	47002
307	20896	46950
308	20980	46916
309	21057	46869
310	21140	46834
311	21221	46796
312	21312	46778
313	21384	46718
314	21465	46678
315	21528	46599
316	21612	46565
317	21686	46510
318	21769	46473
319	21851	46433
320	21933	46396
321	22013	46350
322	22094	46310
323	22222	46366
324	22298	46311
325	22357	46224
326	22437	46178
327	22527	46153
328	22610	46113
329	22694	46076
330	22802	46086
331	22883	46042
332	22963	45995
333	23039	45941
334	23118	45891
335	23195	45838
336	23269	45778
337	23355	45743
338	23427	45679
339	23498	45614
340	23578	45566
341	23657	45516
342	23734	45461
343	23837	45456
344	23932	45436
345	24016	45395
346	24085	45325
347	24153	45252
348	24230	45197
349	24313	45154
350	24406	45127
351	24493	45089
352	24575	45043
353	24672	45023
354	24751	44971
355	24832	44921
356	24904	44855
357	24975	44787
358	25055	44736
359	25127	44671
360	25197	44602
361	25279	44552
362	25361	44504
363	25429	44431
364	25500	44363
365	25572	44297
366	25644	44231
367	25717	44167
368	25798	44115
369	25870	44050
370	25939	43977
371	26006	43904
372	26093	43862
373	26163	43792
374	26230	43718
375	26315	43672
376	26391	43613
377	26458	43537
378	26572	43540
379	26673	43520
380	26758	43473
381	26828	43403
382	26902	43338
383	26992	43301
384	27066	43235
385	27133	43160
386	27217	43111
387	27299	43059
388	27372	42993
389	27443	42924
390	27522	42868
391	27595	42801
392	27673	42742
393	27760	42697
394	27832	42629
395	27910	42571
396	27991	42516
397	28074	42464
398	28146	42396
399	28216	42325
400	28296	42268
401	28375	42209
402	28444	42137
403	28527	42085
404	28603	42022
405	28683	41966
406	28766	41913
407	28851	41863
408	28931	41804
409	29010	41746
410	29078	41672
411	29163	41621
412	29255	41580
413	29356	41552
414	29435	41492
415	29517	41438
416	29593	41374
417	29669	41309
418	29750	41253
419	29830	41194
420	29912	41138
421	29984	41068
422	30057	41000
423	30136	40940
424	30208	40869
425	30287	40810
426	30375	40761
427	30444	40687
428	30525	40629
429	30603	40567
430	30687	40513
431	30772	40459
432	30852	40400
433	30946	40359
434	31026	40298
435	31106	40238
436	31181	40171
437	31261	40111
438	31339	40049
439	31416	39984
440	31489	39914
441	31561	39844
442	31628	39768
443	31705	39703
444	31779	39635
445	31855	39569
446	31935	39508
447	32010	39442
448	32090	39380
449	32181	39332
450	32277	39291
451	32356	39229
452	32434	39164
453	32500	39086
454	32561	39002
455	32649	38950
456	32734	38894
457	32815	38834
458	32891	38767
459	32971	38705
460	33047	38638
461	33123	38572
462	33204	38511
463	33286	38451
464	33361	38383
465	33436	38316
466	33525	38264
467	33600	38195
468	33674	38126
469	33751	38060
470	33827	37992
471	33908	37931
472	33991	37872
473	34068	37806
474	34144	37738
475	34219	37670
476	34304	37612
477	34397	37563
478	34462	37484
479	34528	37406
480	34598	37331
481	34683	37274
482	34749	37196
483	34835	37138
484	34910	37069
485	34988	37004
486	35061	36933
487	35133	36861
488	35209	36793
489	35265	36704
490	35324	36619
491	35393	36544
492	35477	36484
493	35567	36431
494	35662	36383
495	35735	36311
496	35821	36254
497	35898	36186
498	35982	36126
499	36065	36065
500	36142	35998
501	36218	35929
502	36296	35863
503	36376	35799
504	36453	35731
505	36533	35667
506	36609	35598
507	36682	35526
508	36760	35460
509	36844	35400
510	36921	35331
511	36996	35261
512	37079	35200
513	37161	35137
514	37241	35072
515	37320	35006
516	37398	34938
517	37480	34875
518	37576	34825
519	37662	34765
520	37743	34701
521	37823	34635
522	37900	34567
523	37979	34500
524	38067	34442
525	38155	34383
526	38236	34318
527	38319	34254
528	38407	34196
529	38499	34141
530	38566	34063
531	38656	34006
532	38736	33939
533	38819	33876
534	38904	33813
535	38982	33746
536	39057	33675
537	39137	33608
538	39220	33544
539	39310	33487
540	39393	33422
541	39472	33355
542	39546	33283
543	39631	33220
544	39708	33151
545	39798	33092
546	39884	33030
547	39964	32963
548	40049	32900
549	40127	32831
550	40201	32759
551	40276	32687
552	40352	32617
553	40428	32547
554	40501	32474
555	40587	32411
556	40667	32344
557	40747	32276
558	40824	32207
559	40903	32138
560	40981	32069
561	41061	32001
562	41158	31946
563	41239	31880
564	41323	31815
565	41401	31746
566	41478	31675
567	41559	31608
568	41636	31538
569	41715	31469
570	41792	31399
571	41877	31335
572	41956	31266
573	42028	31191
574	42101	31118
575	42177	31046
576	42265	30985
577	42330	30905
578	42406	30834
579	42481	30762
580	42554	30689
581	42627	30615
582	42722	30557
583	42789	30480
584	42879	30418
585	42963	30352
586	43041	30283
587	43118	30212
588	43201	30145
589	43276	30073
590	43370	30014
591	43453	29948
592	43532	29878
593	43602	29802
594	43669	29724
595	43745	29653
596	43841	29595
597	43934	29534
598	44024	29472
599	44105	29403
600	44194	29340
601	44274	29271
602	44345	29195
603	44419	29122
604	44492	29048
605	44568	28976
606	44652	28909
607	44744	28848
608	44821	28776
609	44895	28703
610	44963	28626
611	45046	28559
612	45113	28481
613	45182	28404
614	45258	28332
615	45337	28262
616	45407	28186
617	45495	28121
618	45572	28050
619	45665	27988
620	45738	27914
621	45823	27847
622	45914	27784
623	45985	27709
624	46060	27636
625	46131	27561
626	46221	27496
627	46304	27428
628	46381	27356
629	46449	27279
630	46520	27204
631	46594	27130
632	46664	27055
633	46747	26986
634	46840	26924
635	46911	26848
636	46983	26774
637	47090	26719
638	47193	26661
639	47268	26588
640	47343	26515
641	47419	26442
642	47488	26365
643	47576	26300
644	47649	26225
645	47728	26154
646	47808	26083
647	47905	26022
648	48007	25964
649	48086	25892
650	48161	25819
651	48232	25743
652	48322	25678
653	48402	25607
654	48517	25554
655	48598	25484
656	48674	25411
657	48769	25348
658	48864	25285
659	48956	25220
660	49032	25146
661	49098	25068
662	49168	24991
663	49240	24916
664	49305	24838
665	49384	24766
666	49458	24691
667	49538	24621
668	49610	24545
669	49688	24473
670	49786	24410
671	49863	24337
672	49936	24263
673	50022	24194
674	50090	24117
675	50174	24048
676	50246	23972
677	50339	23907
678	50412	23832
679	50488	23759
680	50589	23697
681	50676	23629
682	50782	23569
683	50858	23495
684	50949	23429
685	51029	23357
686	51115	23288
687	51210	23223
688	51296	23154
689	51377	23082
690	51453	23008
691	51521	22931
692	51611	22863
693	51677	22785
694	51757	22713
695	51827	22637
696	51896	22560
697	51977	22488
698	52050	22413
699	52117	22336
700	52194	22262
701	52274	22190
702	52340	22112
703	52419	22040
704	52492	21964
705	52571	21892
706	52653	21820
707	52727	21746
708	52795	21669
709	52868	21594
710	52933	21515
711	53020	21446
712	53098	21373
713	53167	21296
714	53233	21219
715	53305	21143
716	53376	21067
717	53446	20991
718	53542	20925
719	53646	20862
720	53724	20789
721	53792	20712
722	53871	20639
723	53966	20572
724	54045	20500
725	54113	20422
726	54195	20351
727	54283	20281
728	54373	20212
729	54438	20134
730	54518	20062
731	54578	19982
732	54655	19908
733	54739	19837
734	54836	19771
735	54921	19699
736	55010	19630
737	55077	19553
738	55144	19476
739	55221	19402
740	55305	19330
741	55390	19259
742	55458	19182
743	55534	19108
744	55622	19038
745	55710	18968
746	55794	18896
747	55868	18821
748	55939	18746
749	56017	18672
750	56094	18598
751	56168	18523
752	56244	18449
753	56331	18378
754	56419	18308
755	56490	18232
756	56563	18157
757	56640	18083
758	56731	18013
759	56811	17940
760	56881	17864
761	56968	17793
762	57031	17714
763	57099	17638
764	57164	17560
765	57240	17486
766	57318	17412
767	57409	17342
768	57498	17272
769	57587	17201
770	57672	17129
771	57751	17056
772	57843	16986
773	57916	16910
774	58000	16838
775	58088	16767
776	58155	16690
777	58223	16613
778	58301	16540
779	58386	16468
780	58473	16396
781	58540	16319
782	58609	16243
783	58687	16168
784	58773	16097
785	58856	16024
786	58940	15952
787	59013	15876
788	59105	15806
789	59188	15733
790	59270	15660
791	59354	15587
792	59430	15513
793	59503	15437
794	59586	15365
795	59655	15288
796	59714	15209
797	59798	15136
798	59883	15064
799	59951	14987
800	60020	14911
801	60094	14836
802	60168	14761
803	60245	14686
804	60317	14611
805	60385	14534
806	60476	14463
807	60557	14389
808	60627	14313
809	60694	14236
810	60780	14164
811	60857	14090
812	60929	14014
813	60997	13938
814	61075	13863
815	61146	13787
816	61220	13712
817	61303	13639
818	61368	13562
819	61440	13486
820	61503	13409
821	61582	13335
822	61666	13262
823	61744	13188
824	61813	13111
825	61906	13040
826	61982	12966
827	62054	12890
828	62143	12818
829	62216	12743
830	62294	12668
831	62379	12595
832	62447	12519
833	62524	12444
834	62617	12373
835	62693	12298
836	62760	12222
837	62831	12146
838	62899	12070
839	62974	11995
840	63045	11919
841	63114	11843
842	63194	11769
843	63282	11696
844	63359	11622
845	63445	11549
846	63534	11476
847	63614	11402
848	63682	11326
849	63764	11252
850	63837	11177
851	63916	11102
852	63994	11028
853	64062	10952
854	64140	10877
855	64217	10802
856	64301	10729
857	64376	10654
858	64462	10581
859	64520	10503
860	64607	10430
861	64676	10354
862	64736	10276
863	64806	10200
864	64873	10124
865	64957	10051
866	65035	9976
867	65103	9900
868	65180	9825
